Album Title;Label;Year
Three Imaginary Boys;Fiction Records;1979
Boys Don't Cry;PVC Records, Fiction Records;1980
Seventeen Seconds;Fiction Records, Polydor;1980
Faith And 'Carnage Visors';Fiction Records;1981
Faith;Fiction Records;1981
Pornography;Fiction Records;1982
The Walk;Sire;1983
The Top;Fiction Records;1984
Concert (The Cure Live) And Curiosity (Cure Anomalies 1977 -1984);Fiction Records;1984
Concert - The Cure Live;Fiction Records;1984
In Concert - 371 ‎(LP, Transcription);BBC Transcription Services;1985
The Head On The Door;Fiction Records;1985
In Concert-393 ‎(LP, Transcription);BBC Transcription Services;1986
The Cure / The Divinyls* - The King Biscuit Flower Hour ‎(LP, Transcription + LP, S/Sided);DIR Broadcasting;1986
The Call / The Cure - King Biscuit Flower Hour ‎(Transcription + LP + LP, S/Sided);DIR Broadcasting;1986
The Cure, The Outfield - King Biscuit Flower Hour ‎(2xLP, Transcription);King Biscuit Flower Hour;1987
Kiss Me Kiss Me Kiss Me;Fiction Records;1987
The Cure / Europe (2) - In Concert ‎(2xLP, Transcription);Westwood One;1987
Kiss Me Kiss Me Kiss Me Interview ‎(LP, Promo);Fiction Records, Polydor;1987
In Concert-427 ‎(LP, Transcription);BBC Transcription Services;1988
Disintegration;Fiction Records;1989
Entreat;Fiction Records, Polydor;1989
In Concert-500 ‎(LP, Transcription);BBC Transcription Services;1990
Mixed Up;Fiction Records;1990
An Interview ‎(CD, Promo);Polydor;1990
